арґумент	аргумент
ориґінальний	оригінальний
багаточисельний	числе́нний
барокко	бароко
більш висока	вища (не є граматичною помилкою)
більш світлий	світліший (не є граматичною помилкою)
найбільш значне	найзначніше (найзначущіше)
більше ста	понад сто, більш ніж (як) сто
блище	ближче
будь-ласка	будь ласка
в деякій мірі	деякою мірою, певною мірою
ведучий	провідний (інженер), тягови́й (механізм)
відмінити	відміняти (іменники, за відмінками тощо), але скасувати, скасовувати
відміняти	відміняти (іменники, за відмінками тощо), але скасувати, скасовувати
вибачатись	перепрошувати, просити пробачення (даруйте, вибачте)
вибачитись	перепрошувати, просити пробачення (даруйте, вибачте)
виключення	виняток
виконуючий	виконувач
домінуючий	домінантний
вимір	вимірювання
одиниця виміру	одиниця вимірювання
вірна інтерпретація	правильна інтерпретація
в кінці кінців	зрештою, урешті-решт (врешті-решт), кінець кінцем
включати	містити у своєму складі, складатися (з…)
володіти	мати (здатність), бути здатним опанувати/опановувати (правопис)
вцілому	в цілому
в якості	як (хтось/щось), в ролі (когось/чогось), (кимось/чимось) (залежно від контексту)
Голандія	Голландія, голландський (про провінцію), Нідерланди, нідерландський (про країну)
голандський	Голландія, голландський (про провінцію), Нідерланди, нідерландський (про країну)
головнокомандуючий	головнокомандувач
ґрант	грант
грунт	ґрунт
далеко ідучий	далекосяжний
дивізіона	дивізіону
жюрі	журі
завідуючий	завідувач, голова, старший, начальник (орудар)
зворотній й под.	зворотний
відповідно з	відповідно до
зйомка	знімання, фільмування, знімальний
зйомочний	знімання, фільмування, знімальний
инший	інший
іллюстрація	ілюстрація
каньон	каньйон
фільма	(кіно)фільму
кооператива	кооперативу
користуватися попитом	мати попит/популярність, послуговуватися попитом/популярністю
любі	будь-які
магнет	магніт
навчати грамоті	навчати грамоти
накінець	нарешті
накінець-то	нарешті
нажаль	на жаль
нанести удар	завдати удару
на рахунок	щодо, стосовно, з приводу
наступаючий	прийдешній, що надходить
наступний	такий
оточуючий	навколишній, довколишній, навкружний
підчас	під час
продовжувати	інф. + далі
продовжується посадка	триває посадка
передвзятість	упередженість
переіменування	перейменування
за адресою	на адресу
площадка	майданчик
по крайній мірі	принаймні
по понеділкам	у понеділки
по місцям	по місцях
по рокам	за роками
по імені	на ім'я (на йме́ння, рідше на імення)
Польша	Польща
прийняти участь	брати участь
приймав участь	брав участь
прихожан	парафіян
пункта	пункту
п'ятнадцять чоловік	п'ятнадцять осіб
рахувати	вважати, мати думку
района	району
регіона	регіону
реґґі	регі
реггі	регі
рінґтон	рингтон
рінгтон	рингтон
самий більший	найбільший
сінгл	сингл
скористуйтесь	скористайтесь
слід	треба (нести, шукати, працювати тощо)
слідує	треба (нести, шукати, працювати тощо)
слідуючий	наступний, такий (при подальшому переліченні)
співпадати	збігатися
співставляти	зіставляти
статтей	статей (чого?)
статею	статтею (чим?)
стосовно	щодо
стікло	скло
за суттю	по суті
так як	оскільки, позаяк, через те, що, тому, що, бо
такі як	як-от
теріторія	територія
тона	тонна
тон	тонн
торгівельний	торговельний
торкатися	стосуватися
узберіжжя	узбережжя
учбовий	навчальний
учба	навчання
хемія	хімія
швецький	шведський
громацький	громадський
широкополосний	широкосмуговий (бо смуга пропускання)
